cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
improving resilience in the NBFI sector,making the dream of a Grand Bargain a reality,improving resilience in the NBFI sector is vital for the dream of a Grand Bargain to become a reality,"In particular, it is vital that continued progress is made on improving resilience in the NBFI sector if the dream of a Grand Bargain is to become a reality.",NA,if,NA,FUTURE,speech_16654_batch_2,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_26
prudential regulation covering liquidity risk,firms compliance with these regulations,regulation ensures compliance,"They are subject to prudential regulation covering liquidity risk; the PRA assesses firms compliance with these regulations, and is considering how both regulation and supervision in this area might be further strengthened: see Liquidity risk management for insurers Bank of England 16.",NA,NA,NA,PRESENT,speech_16654_batch_3,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_27
regulation and supervision,further strengthening,considering how to strengthen,"They are subject to prudential regulation covering liquidity risk; the PRA assesses firms compliance with these regulations, and is considering how both regulation and supervision in this area might be further strengthened: see Liquidity risk management for insurers Bank of England 16.",NA,might,NA,FUTURE,speech_16654_batch_3,16654,batch_6956d976f4bc8190ae083b2a0d6ea253,16654_28
climate change,macroeconomic effects,"Climate change has macroeconomic effects, including physical impacts from extreme weather events and higher average temperatures, or transition effects associated with transforming to a net zero economy.","When climate change has macroeconomic effects - whether physical impacts from extreme weather events and higher average temperatures or transition effects associated with transforming to a net zero economy, including explicit implications for inflation - it becomes a concern for monetary policymakers, directly within a price stability mandate.",NA,NA,NA,PRESENT,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_0
climate mitigation policies,change in transmission of demand shocks,Climate mitigation policies have the potential to change how demand shocks transmit through the economy.,"Second, climate change and mitigation policies have the potential to change how once-familiar shocks, for instance demand shocks or monetary policy itself, transmit through the economy.",NA,potential,NA,PRESENT,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_1
climate mitigation policies,change in transmission of monetary policy,Climate mitigation policies have the potential to change how monetary policy transmits through the economy.,"Second, climate change and mitigation policies have the potential to change how once-familiar shocks, for instance demand shocks or monetary policy itself, transmit through the economy.",NA,potential,NA,PRESENT,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_2
climate mitigation policies,impact on UK macroeconomic environment,"Climate mitigation policies set abroad, particularly by the UK's largest trading partners, will affect the UK's macroeconomic environment through spillovers.","All economies will be subject to the impacts of climate change in various ways, and as a small open economy, the UKs macroeconomic environment will be affected by the spillovers of climate mitigation policies set abroad, particularly by its largest trading partners.",NA,NA,NA,FUTURE,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_3
carbon pricing instruments,increase in carbon prices,Binding carbon pricing instruments raise carbon prices.,"In the short-term (which I would say is within the monetary policy horizon), binding carbon pricing instruments raise carbon prices, and if there are no revenues to redistribute, will reduce output of carbon-intensive products.",NA,NA,short-term,PRESENT,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_4
carbon pricing instruments,reduction in output of carbon-intensive products,"If there are no revenues to redistribute, binding carbon pricing instruments will reduce output of carbon-intensive products.","In the short-term (which I would say is within the monetary policy horizon), binding carbon pricing instruments raise carbon prices, and if there are no revenues to redistribute, will reduce output of carbon-intensive products.",NA,if,short-term,FUTURE,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_5
price signals from carbon instruments,induction of greener investments,Price signals induced by carbon instruments would induce greener investments.,"In the longer-term (which is relevant to the monetary policy terminal rate), price signals induced by the carbon instruments would induce greener investments and reduce consumption of carbon-intensive products.",NA,would,longer-term,FUTURE,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_6
price signals from carbon instruments,reduction in consumption of carbon-intensive products,Price signals induced by carbon instruments would reduce consumption of carbon-intensive products.,"In the longer-term (which is relevant to the monetary policy terminal rate), price signals induced by the carbon instruments would induce greener investments and reduce consumption of carbon-intensive products.",NA,would,longer-term,FUTURE,speech_16655_batch_0,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_7
macroeconomic demand shocks,greater price volatility with quantity-based instruments,Macroeconomic demand shocks cause quantity-based instruments to induce greater price volatility than price-based instruments.,"If there are macroeconomic demand shocks, the quantity-based instruments would induce greater price volatility than would the price-based instruments.",NA,If,NA,FUTURE,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_8
shock to or permanent increase in energy prices,significant impacts on energy-intensive imported goods,A shock to or permanent increase in energy prices can have significant impacts on energy-intensive imported goods.,The recent period of high inflation has shown us that a shock to or the permanent increase in the level of energy prices can have significant impacts not just on energy-intensive imported goods.,NA,can,NA,PAST,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_9
shocks to widely-used intermediate goods,pervasive and long-lasting effects across all other goods and sectors,Shocks to widely-used intermediate goods can have pervasive and long-lasting effects across all other goods and sectors.,"As shown in Chart 5, shocks to widely-used intermediate goods can have pervasive and long-lasting effects across all other goods and sectors, as I have discussed before in several speeches.",NA,can,NA,NA,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_10
reliance on fossil fuel energy,exposure to risk of further price shocks,Reliance on fossil fuel energy will keep the UK exposed to risk of further price shocks.,"As long as the UK is reliant on fossil fuel energy, it will remain exposed to risk of further price shocks, which historically have been key drivers of very high inflation episodes.",NA,NA,NA,FUTURE,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_11
moving towards a greener mix for energy generation,reduced risk of large shocks and macroeconomic ramifications,Moving towards a greener mix for energy generation could reduce the risk of large shocks and their macroeconomic ramifications.,Moving towards a greener mix for energy generation could in the end reduce the risk of these types of large shocks and their macroeconomic ramifications.,NA,could,NA,FUTURE,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_12
less stringent evolution in emissions permits,fall in demand for permits,A less stringent evolution in emissions permits can lead to a fall in demand for permits.,"These changes can be attributed at least in part to a less stringent evolution in emissions permits, and an associated fall in demand for permits, also in anticipation of future reduced stringency, relative to expectations.",NA,at least in part,NA,PAST,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_13
introduction of policies,volatility,The introduction of policies may introduce volatility.,"As noted, the introduction of these policies themselves may introduce volatility.",NA,may,NA,NA,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_14
price-based instruments such as carbon taxes,fluctuations in output,Price-based instruments such as carbon taxes create fluctuations in output.,"Price-based instruments such as carbon taxes create fluctuations in output, and quantity-based instruments such as an ETS create price fluctuations.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_15
quantity-based instruments such as an ETS,price fluctuations,Quantity-based instruments such as an ETS create price fluctuations.,"Price-based instruments such as carbon taxes create fluctuations in output, and quantity-based instruments such as an ETS create price fluctuations.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_16
uncertainty,"reduction in investment, consumption, and employment","Uncertainty reduces investment, consumption, and employment.","From the literature on policy uncertainty, we know uncertainty reduces investment, consumption, and employment.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_17
uncertainty,increase in option value of waiting,Uncertainty increases the option value of waiting.,"From the literature on policy uncertainty, we know uncertainty reduces investment, consumption, and employment as it increases the so-called option value of waiting.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_18
carbon supply shock,0.15% peak increase in CPI,A carbon supply shock leads to a 0.15% peak increase in CPI.,"Beginning on the empirical side of carbon pricing strategies, recent staff work, using a high frequency- identified carbon policy supply proxy in a VAR, shows that for the UK, a 1 euro-on-impact carbon supply shock leads to a 0.15% peak increase in CPI and a 0.3% decrease in output.",0.15%,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_19
carbon supply shock,0.3% decrease in output,A carbon supply shock leads to a 0.3% decrease in output.,"Beginning on the empirical side of carbon pricing strategies, recent staff work, using a high frequency- identified carbon policy supply proxy in a VAR, shows that for the UK, a 1 euro-on-impact carbon supply shock leads to a 0.15% peak increase in CPI and a 0.3% decrease in output.",0.3%,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_20
carbon supply shock,affects carbon prices for about 12 months,A carbon supply shock affects carbon prices lasting for about 12 months.,"This model estimates that a carbon supply shock affects carbon prices lasting for about 12 months, but on CPI for much longer.",NA,NA,about 12 months,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_21
rise in carbon price,output fall for emissions-intensive goods,The rise in carbon price causes output to fall for emissions-intensive goods.,"The relative price of emissions-intensive goods rises due to the rise in carbon price, causing its output to fall.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_22
carbon price shock,output increase for green firms,A carbon price shock increases output for green firms.,"As shown in Chart 8, output in response to a carbon price shock increases for green firms, reflecting the substitutability of demand between emissions-intensive and green goods, but given output by emissions-intensive firms contracts by more, aggregate output falls.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_23
decline in expected profitability of emissions-intensive firms,persistent decline in investment,A decline in expected profitability of emissions-intensive firms causes a persistent decline in investment.,"As a result of the decline in expected profitability of emissions-intensive firms, there is a persistent decline in investment.",NA,NA,persistent,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_24
persistent fall in relative prices of green and emissions-intensive goods,fall in investment,A persistent fall in relative prices of green and emissions-intensive goods triggers a fall in investment.,"Due to the persistent fall in relative prices of green and emissions-intensive goods driven by the rise in carbon price, profit margins for green firms are squeezed, triggering a fall in investment.",NA,NA,persistent,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_25
rising cost of emissions-intensive goods,inflation increase,The rising cost of emissions-intensive goods causes inflation to increase.,Inflation in aggregate rises due to the rising cost of emissions-intensive goods.,NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_26
carbon taxes,decrease in output,Carbon taxes decrease output.,"Subsidies and investment increase output, while carbon taxes decrease output.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_27
investment and subsidies,increase in output,Investment and subsidies increase output.,"Subsidies and investment increase output, while carbon taxes decrease output.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_28
carbon taxes,inflationary effects,Carbon taxes are inflationary.,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_29
public investments,inflationary effects,Public investments are inflationary.,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_30
subsidies,inflationary effects,Subsidies are inflationary.,"Diluiso (2023), looking at the differing effects on output and inflation from different policy measures, finds that carbon taxes, public investments, and subsidies are all inflationary.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_31
expectations for future tax increases,negative effect on demand in the current period,Expectations for future tax increases have a negative effect on demand in the current period.,"Ferrari and Nispi Landi (2023) find that increases in carbon taxes are inflationary, but expectations for tax increases in the future have a negative effect on demand in the current period, acting as a disinflationary counterweight.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_32
fully rational agents internalising hit to permanent incomes,output fall,Fully rational agents internalising the hit to permanent incomes cause output to fall faster.,"Annicchiarico et al. (2022) find that fully rational agents more fully internalise the hit to permanent incomes from a permanently higher carbon price compared to non-rational agents. The fully rational agents therefore consume less, which causes output to fall faster.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_33
permanent increase in carbon price,larger upwards impact on inflation,A permanent increase in carbon price results in a larger upwards impact on inflation.,"In their research, Annicchiarico et al. (2022) model the impact of a permanent carbon price shock in a setting in which agents are not fully rational. More precisely, some agents are backward-looking. The authors show that the counterweight on inflation that arises from fully rational agents expecting negative output in the future is dampened - resulting in a larger upwards impact on inflation.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_34
sequence of anticipated carbon price shocks,strong inflationary dynamic,A sequence of anticipated carbon price shocks can create a particularly strong inflationary dynamic.,"Naylor (2023), by modelling agents as having information frictions, specifically as being rationally inattentive, shows that the inflationary dynamic can be particularly strong in the event of a sequence of anticipated carbon price shocks.",NA,can,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_35
contractionary monetary policy shock at home,output fall and inflation fall,A contractionary monetary policy shock at home causes output to fall and inflation to fall.,"Consider just the home country: A contractionary monetary policy shock at home causes output to fall and inflation too, as expected.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_36
carbon tax,larger volatility in home output,"Under the carbon tax, volatility in home output is larger than under the ETS.","On the other hand, rather than levels, consider volatility. Under the carbon tax, volatility in home output is larger than under the ETS, where the carbon price adjusts pro-cyclically.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_37
ETS,higher inflation volatility,An ETS causes more inflation volatility and higher inflation than carbon taxes.,"These results are corroborated by Annicchiarico et al. (2022), a paper I already mentioned earlier, who find that an ETS causes more inflation volatility and higher inflation than carbon taxes.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_38
foreign firms enjoying cost-reduction from tradeable lower permit price,support for output,Foreign firms enjoying a cost-reduction from the tradeable lower permit price supports output.,"In the case of the ETS, foreign firms enjoy a cost-reduction from the tradeable lower permit price, which supports output even as inflation there falls.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_39
green subsidies on labour costs to green firms,larger effects on consumption,Green subsidies on labour costs to green firms increase consumption more than other types of subsidies.,They find that effects on consumption are much larger for subsidies on labour costs to green firms and subsidies for green loans to banks.,NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_40
subsidies for green loans to banks,larger effects on consumption,Subsidies for green loans to banks increase consumption more than other types of subsidies.,They find that effects on consumption are much larger for subsidies on labour costs to green firms and subsidies for green loans to banks.,NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_41
subsidies on capital to green firms,smaller effects on consumption,Subsidies on capital to green firms have smaller effects on consumption compared to other types of subsidies.,"This is compared to smaller effects from subsidies on capital to green firms, or direct subsidies to households.",NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_42
direct subsidies to households,smaller effects on consumption,Direct subsidies to households have smaller effects on consumption compared to other types of subsidies.,"This is compared to smaller effects from subsidies on capital to green firms, or direct subsidies to households.",NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_43
subsidies,reduction in relative prices of green goods,Subsidies reduce the relative prices of green goods compared to carbon-intensive goods.,"Del Negro et al. (2023) find that in the long-run, subsidies reduce the relative prices of green goods relative to carbon- intensive goods, and increase their production, which in principle would be disinflationary.",NA,NA,in the long-run,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_44
subsidies,increase in production of green goods,Subsidies increase the production of green goods compared to carbon-intensive goods.,"Del Negro et al. (2023) find that in the long-run, subsidies reduce the relative prices of green goods relative to carbon- intensive goods, and increase their production, which in principle would be disinflationary.",NA,NA,in the long-run,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_45
carbon taxes,expansion of the economy,Carbon taxes can expand the economy if revenues are distributed effectively.,"Conte et al. (2023), for instance, find that carbon taxes can expand the economy and generate welfare gains, with a key ingredient being how carbon taxes are distributed.",NA,can,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_46
carbon taxes,welfare gains,Carbon taxes can generate welfare gains if revenues are distributed effectively.,"Conte et al. (2023), for instance, find that carbon taxes can expand the economy and generate welfare gains, with a key ingredient being how carbon taxes are distributed.",NA,can,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_47
carbon taxes,reduction in macroeconomic consequences,Recycling carbon tax revenues back into the economy can substantially reduce their macroeconomic consequences.,Kanzig and Konradt (2023) find that the macroeconomic consequences of carbon taxes for instance can be substantially reduced if revenues are recycled back into the economy.,NA,NA,NA,PRESENT,speech_16655_batch_2,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_48
technological progress,reduction in the cost of renewable energy,Technological advancements have led to cost efficiencies in renewable energy production.,"In fact, technological progress has already meant a significant reduction in the cost of renewable energy.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_49
increased regulatory uncertainty,decreased firm investment in renewable energy generation,Uncertainty in regulations discourages firms from investing in renewable energy due to perceived risks.,"Some relevant research on this topic for instance includes Fabrizio (2013), who shows that increased regulatory uncertainty leads to decreased firm investment in renewable energy generation.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_50
policy-related uncertainty shocks,rise in short and long run inflation expectations,Uncertainty in policy leads to increased inflation expectations as markets anticipate potential changes.,"Istrefi and Piloiu (2014) find that policy-related uncertainty shocks lead to a rise in short and long run inflation expectations, which is consistent with the evidence on uncertainty causing increases in inflation.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_51
carbon pricing shocks,affect green firms less than emissions-intensive firms,Carbon pricing impacts emissions-intensive firms more due to their higher reliance on carbon-intensive processes.,"The authors find empirical support for the fact that carbon pricing shocks affect green firms in a given sector less than emissions-intensive firms, using firms equity prices.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_52
carbon prices,raise the cost of capital of emissions-intensive firms,"Higher carbon prices increase the financial burden on emissions-intensive firms, raising their cost of capital.",Hengge et al. (2023) also find that carbon prices raise the cost of capital of emissions-intensive firms.,NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_53
contractionary monetary policy shock,output declines,"Tightening monetary policy reduces economic activity, leading to a decrease in output.","After a contractionary monetary policy shock, output declines, which reduces the demand for emissions.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_54
output decline,reduction in the demand for emissions,"Lower output reduces industrial activity, decreasing emissions demand.","After a contractionary monetary policy shock, output declines, which reduces the demand for emissions.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_55
output decline under ETS,carbon price falls,Reduced demand for emissions under an ETS leads to a decrease in carbon prices.,Under an ETS the carbon price falls (while under a carbon tax this remains unchanged).,NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_56
fall in carbon price under ETS,boosts output in foreign country,"Lower carbon prices make polluting cheaper, encouraging production and increasing output.","In the foreign country, the fall in price under the ETS makes polluting relatively less expensive and boosts output.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_57
stronger stabilisation effort from the central bank,reduced uncertainty of the climate policy,"Effective central bank actions stabilize market sentiment, reducing policy uncertainty.","In the model, this is due to the fact that the stronger the stabilisation effort from the central bank, the lower the intensity of shifts in market sentiment, which reduced the uncertainty of the climate policy.",NA,NA,NA,PAST,speech_16655_batch_3,16655,batch_6956d97820a48190b7d8da5b21e4b26f,16655_58
